3045.550759 37.955910 -34793849924401137399977346072576.000000
3045.576156 106.308344 -25641600917352926811202776989696.000000
3045.601554 75.964428 -27307768332089165917731076177920.000000
3045.626951 76.053613 -27307894087472925085023709691904.000000
3045.652349 106.101366 -25643039504050373700141665222656.000000
3045.677747 36.552984 -34853856371892062049440804896768.000000
3045.703145 7.184877 -36096102686176890456861482942464.000000
3045.728544 0.825590 -36151478783998733386200278630400.000000
3045.753942 0.377871 -36096717758716036864781156614144.000000
3045.779341 1.711614 -34854366205088050853257039314944.000000
3045.804740 5.177292 -25564788331468475625881760432128.000000
3045.830139 5.014929 -25565001561248861353144590794752.000000
3045.855539 7.764905 -9605582601347894548967597277184.000000
3045.880939 7.282497 -2034984136034068633402768097280.000000
3045.906338 7.430754 -2034725787584627616606557569024.000000
3045.931739 4.971834 -9605384836557022570034902335488.000000
3045.957139 2.610947 -25565789998726948731698053906432.000000
3045.982539 2.451778 -25566003171045465460577243496448.000000
3046.007940 0.802590 -34856861400400330841003801968640.000000
3046.033341 0.155149 -36100015991548567356576203014144.000000
3046.058742 0.016941 -36156143465470299448650319790080.000000
3046.084144 0.000993 -36157187815186674199264678117376.000000
3046.109545 -0.001997 -36157489347703933988118313566208.000000
3046.134947 -0.034076 -36157048503286979793129981345792.000000
3046.160349 -0.312090 -36101537171505477549785073319936.000000
3046.185752 -1.609989 -34859019885111791489981683335168.000000
3046.211154 -4.856807 -25569253628384974711589531811840.000000
3046.236557 -4.565675 -25648208459444320379568767631360.000000
3046.261960 -6.344853 -13583848789882259805197006012416.000000
3046.287363 -1.905401 -25568584222938198896204574621696.000000
3046.312766 16.016564 -23696621986135608893137938808832.000000
3046.338169 104.497475 -23695807708224902414366157045760.000000
3046.363573 331.086583 -25489407436162916604907303731200.000000
3046.388977 558.739009 -9607241366145742735493407178752.000000
3046.414381 268.580383 -2849936518321517034021761056768.000000
3046.439786 518.397717 -9394696238029135352810696605696.000000
3046.465190 347.394471 -23696673813081081787641761890304.000000
3046.490595 69.558879 -15148.079249
3046.516000 -0.374811 -23697186620231084123799582408704.000000
3046.541405 -12.390791 -9392524709075745349549451902976.000000
3046.566811 -5.408539 -2008772363190953396161004699648.000000
3046.592216 -6.749499 -231818783927480272172938690560.000000
3046.617622 -0.946818 -20408831228978696424840495104.000000
3046.643028 -7.149111 -232194939479476886556746186752.000000
3046.668434 -5.696600 -2021885722007110926117938135040.000000
3046.693841 -12.966810 -9604971038623816663547015856128.000000
3046.719248 -10.083641 -25492127570320141117971249496064.000000
3046.744654 -12.223392 -23699980806646221192770522972160.000000
3046.770062 -8.179102 -23785264792853909638465074495488.000000
3046.795469 -4.011732 -27243517641523931107246359969792.000000
3046.820876 -3.390813 -27316624598498453108959872024576.000000
3046.846284 -4.458618 -25573271442878541039386331447296.000000
3046.871692 -0.169066 -33517514173183348425939918782464.000000
3046.897100 6.389584 -25493871499817557819958734356480.000000
3046.922509 18.648660 -25573115308858154886958661238784.000000
3046.947917 25.993939 -9609005907909789582692781654016.000000
3046.973326 17.215991 -2022477033184443200529556832256.000000
3046.998735 30.813790 -328465855057666084670263001088.000000
3047.024144 20.808535 -2022173326902228447044759977984.000000
3047.049554 10.683939 -9606092478553561062806770417664.000000
3047.074963 2.472989 -25495099841536610562410650009600.000000
3047.100373 -10.553505 -23701610134199003430174280646656.000000
3047.125783 -44.759238 -23701929783132734396807916814336.000000
3047.151194 -32.397070 -25495993461250726082132630831104.000000
3047.176604 -35.916153 -9606929479745680767244105154560.000000
3047.202015 -49.278531 -2022525826321000584833589575680.000000
3047.227426 -20.623408 -232316245235858936500620099584.000000
3047.252837 -5.121910 -14438872573737334687452364800.000000
3047.278248 7.058812 -48.007111
3047.303660 5.185274 -46.640147
3047.329072 12.294420 -52.768777
3047.354484 14.707192 -14430070838580728326581649408.000000
3047.379896 10.240181 -231802378739737545602456616960.000000
3047.405308 7.582717 -2009046130064250763347119570944.000000
3047.430721 6.066084 -9394879813350048970152026832896.000000
3047.456134 11.522072 -23704377385638192674247995817984.000000
3047.481547 29.139509 -158.118641
3047.506960 19.186977 -23704894761026006248714502406144.000000
3047.532374 20.651037 -9395579877245439416024352948224.000000
3047.557787 30.216108 -2009425768672992624064239501312.000000
3047.583201 12.704796 -231894189144490104073528279040.000000
3047.608615 2.727239 -14440558358099976080855138304.000000
3047.634030 4.670851 -42.633834
3047.659444 1.006880 -23.562420
3047.684859 -0.855987 -18.305817
3047.710274 -4.030942 -19.037533
3047.735689 -6.542365 -20.333642
3047.761104 -6.351248 -20.261462
3047.786520 -7.129187 -17.369263
3047.811936 -8.023935 -17.526549
3047.837352 -3.532264 -14.447303
3047.862768 -4.001829 -16.138234
3047.888184 -7.015901 -22.053211
3047.913601 -5.551383 -20.954936
3047.939018 -8.332867 -24.194307
3047.964435 -5.717538 -21.183779
3047.989852 -8.856984 -22.449909
3048.015270 -3.166897 -22.042542
3048.040688 2.961412 -20.913623
3048.066105 -2.207603 -22.259636
3048.091524 2.576999 -18.838305
3048.116942 9.530864 -26.482096
3048.142360 5.089868 -28.646094
3048.167779 3.063424 -53.940442
3048.193198 -6.302264 -114.397409
3048.218617 -5.663244 -112.187087
3048.244037 -8.487591 -108.469475
3048.269456 -14.216726 -119.203634
3048.294876 -3.752313 -53.362736
3048.320296 -1.569628 -34.387415
3048.345717 -0.966623 -18.263534
3048.371137 -0.150947 -15.888986
3048.396558 1.348101 -16.540031
3048.421979 -3.352187 -26.166237
3048.447400 -5.932741 -79.738867
3048.472821 -17.069060 -202.396040
